#OTU_IDs	16S_rRNA_Count
169927	3.0
2923425	3.0
169921	3.0
2089945	4.0
7567	4.0
4461154	4.0
4461155	3.0
4461156	7.0
4461157	6.0
4305443	5.0
1579723	4.0
562096	9.0
206024	3.0
980525	2.0
299518	2.0
818855	10.0
345899	4.0
299513	4.0
345893	6.0
299516	4.0
299517	4.0
183413	1.0
183412	4.0
183410	4.0
52466	2.0
183414	1.0
374557	3.0
183419	1.0
180140	1.0
180141	5.0
2038051	2.0
132661	6.0
132662	6.0
3532472	2.0
188775	1.0
4353229	3.0
188773	1.0
188772	3.0
235969	2.0
4310731	2.0
4310730	3.0
763954	3.0
4310735	2.0
813739	2.0
763950	4.0
4310736	1.0
4310739	4.0
813735	3.0
614663	2.0
614662	2.0
3097539	3.0
218096	1.0
218095	3.0
4314573	3.0
3846637	3.0
3582695	4.0
652645	2.0
3290486	3.0
680397	2.0
3382607	2.0
1625694	2.0
4460404	4.0
1625696	3.0
1625697	3.0
563323	3.0
1625692	2.0
1625693	3.0
537184	6.0
537182	10.0
537183	1.0
4342168	1.0
4342167	2.0
4342166	3.0
4450831	2.0
929111	3.0
4450837	2.0
537188	1.0
2954729	4.0
325329	1.0
744743	2.0
744744	5.0
744745	4.0
4399059	2.0
325326	8.0
4399051	6.0
4399050	1.0
205397	4.0
205394	4.0
205391	1.0
131314	2.0
3831490	2.0
3831498	1.0
4367198	2.0
571553	3.0
261971	5.0
4396558	3.0
2486312	3.0
4396551	7.0
4396557	1.0
583831	5.0
1863625	1.0
219327	2.0
583834	1.0
583837	2.0
583838	4.0
4316363	2.0
2829512	5.0
703731	1.0
1863620	5.0
821579	3.0
780282	3.0
555348	1.0
203941	2.0
821570	2.0
4423773	4.0
4423770	7.0
135947	6.0
135940	2.0
4423777	4.0
4423774	3.0
4423775	5.0
4423778	5.0
820223	2.0
2919166	2.0
322678	3.0
1117097	2.0
1117094	3.0
554378	2.0
4383412	2.0
4383413	2.0
4326907	2.0
170919	7.0
517916	4.0
281078	2.0
204443	1.0
38561	2.0
38560	2.0
38566	2.0
320298	3.0
4310951	5.0
320291	6.0
320297	3.0
236904	3.0
622740	3.0
329370	2.0
329371	3.0
1003077	5.0
1046701	4.0
580891	1.0
246200	2.0
306945	3.0
821008	2.0
567355	6.0
252438	2.0
2816796	1.0
587488	2.0
587489	2.0
587487	1.0
587480	9.0
580898	1.0
587482	3.0
300872	4.0
300870	4.0
300877	1.0
300879	4.0
4422420	1.0
4422423	5.0
575478	3.0
575479	5.0
575472	3.0
1114544	10.0
739013	12.0
323981	8.0
4362193	2.0
3383663	4.0
693710	5.0
1104748	1.0
768811	3.0
362650	3.0
4412017	2.0
4412015	2.0
272806	3.0
4412013	2.0
272800	4.0
272803	4.0
272809	1.0
4412019	3.0
786131	4.0
785554	2.0
785555	7.0
538662	3.0
723041	1.0
591285	3.0
417361	2.0
591281	1.0
417366	3.0
574890	2.0
3259161	2.0
4322377	2.0
4322378	2.0
4322379	6.0
174114	1.0
160258	6.0
4323428	6.0
4323426	5.0
4323425	2.0
300609	4.0
574893	3.0
585228	5.0
585229	3.0
538668	1.0
585220	3.0
585221	3.0
585227	4.0
3562948	2.0
4368676	2.0
4368675	4.0
1075449	2.0
4368673	5.0
4321489	1.0
3310475	7.0
4321485	3.0
4368679	8.0
574702	7.0
242437	1.0
1891666	3.0
226506	1.0
226502	3.0
226508	2.0
4319385	5.0
543870	3.0
4473994	10.0
213180	4.0
835201	1.0
835202	7.0
213189	2.0
835206	1.0
740589	10.0
2912140	3.0
580768	2.0
2912147	1.0
154843	2.0
154845	4.0
580763	4.0
777057	1.0
158711	5.0
586498	3.0
503238	7.0
158282	8.0
261040	1.0
261043	5.0
318070	12.0
4401857	7.0
261044	2.0
158284	1.0
318074	4.0
241317	3.0
241315	4.0
241311	1.0
843454	3.0
1108984	1.0
765009	1.0
843459	4.0
4320991	7.0
89236	2.0
625825	2.0
129863	2.0
4326132	1.0
4326133	3.0
4326130	4.0
4326131	3.0
834845	9.0
4378519	1.0
670400	2.0
4378512	1.0
4378511	4.0
4378510	4.0
